index,company,blurb,location,field,joined,followers
288,PostReach by Primo,A.I. Marketing Platform: Easily Reach More Fans on Social Media,New York City,Content Marketing,Sep 1,22
289,Plato,Plato is on a mission to help engineering + product leaders become better leaders,San Francisco,Small and Medium Businesses,Apr 1,74
290,Voltaiq,Battery Intelligence software platform for developers of batteries and battery-powered products,Berkeley,Batteries,Dec 1,56
291,Notify.io,The leading bot and messaging platform for businesses,San Francisco,Messaging,Jul 1,16
292,FANG Labs,Artificial Intelligence applications for consumer products,Seattle,Educational Games,Apr 1,15
293,Grip,The Leading AI-Powered Event Solution,London,Events,Jan 1,72
294,Kiwi,software that helps people quit smoking,Toronto,Artificial Intelligence,Aug 1,119
295,Agari,Obliterate BEC attacks. Annihilate spear phishing. Eliminate email identity deception,Foster City,Fraud Detection,Jun 1,27
296,Dropcountr,Cloud-based analytics and mobile engagement for the new utility and their customers,San Francisco,Consumer,Apr 1,120
297,UIB,Intelligent IoT Messaging,Singapore,Messaging,Mar 1,398
298,Pioneer Square Labs,Pioneer Square Labs is a Startup Studio &amp; Venture Capital Fund,Seattle,Small and Medium Businesses,Oct 1,192
299,API.AI,Conversational speech interfaces for apps and devices,Palo Alto,Mobile Search,Apr 1,137
300,STELLARES,"World’s first A.I. talent agent, representing top tech talent",San Francisco,Artificial Intelligence,Nov 1,24
301,Feedzai,"Save your data with Feedzai. Machine learning that really saves your life, one day at a time",San Mateo,Fraud Detection,Jun 1,34
302,ODYN,Optimize your in-transit inventory with low-cost pallet tracking + AI,Boston,Supply Chain Management,Oct 1,53
303,WEVO,Stop guessing. Optimize your website BEFORE going live,Boston,Market Research,Jan 1,54
304,Eloquent Labs,AI to replace and augment customer service reps,Redwood City,Customer Service,Jul 1,24
305,EmbraceFamily Health,Artificially intelligent digital doctors for healthier people,San Francisco,Digital Health,May 1,139
306,Originate,Originate drives digital change at world’s top organizations,San Francisco,Product Design,Feb 1,783
307,Shopperception,In-store behavior monitoring system,Boston,Market Research,Apr 1,77
308,Jobox.ai,"Unique opportunity to join a hyper-growth, stealth-mode AI startup empowering skilled professionals",Palo Alto,B2B,Dec 1,83
309,AlphaSense,"With AlphaSense work smarter, not harder. Find the business insights you need in seconds",Helsinki,Market Research,Apr 1,49
310,StatusToday,Isaak by StatusToday is an AI that gives people analytics to drive organizational change,London,Human Resources,Jun 1,143
311,Chooch AI,Visual AI for the Enterprise,San Francisco,Computer Vision,Jan 1,43
312,Car IQ,Machine Learning Connected Car Technology ,San Francisco,Artificial Intelligence,Feb 1,18
313,Desafia San Francisco,"Scale faster, scale globally",San Francisco,B2B,Sep 1,58
314,Teamscope,A.I. driven talent analytics for executive search professionals,London,Hr Tech,Jan 1,21
315,BlockSeer,AI meets blockchain,Sunnyvale,Blockchains,Aug 1,107
316,DocsApp,Making quality healthcare easily accessible to over a billion people! ,Bengaluru,Artificial Intelligence,Oct 1,704
317,PublishDrive,Self-publishing platform for business-driven indie authors,Budapest,Technology,Nov 1,18
318,Breinify,Plug and Play AI Platform,San Francisco,Predictive Analytics,Sep 1,51
319,Miles,The app that rewards all your commute &amp; travel,Redwood City,Mobility,Jul 1,138
320,Canvass Analytics,Bringing Industrial Data to Life,Toronto,Industrial,Mar 1,55
321,PEEQ,Intelligent Video Capture,San Francisco,Augmented Reality,Aug 1,106
322,inapptics,Inapptics helps app makers analyze user behavior in mobile apps,San Francisco,Mobile Analytics,Sep 1,9
323,Delve Labs,Complete enterprise security coverage through nonstop autonomous pentest,Montreal,Data Mining,Nov 1,17
324,OccamzRazor,Accelerating scientific discovery,San Francisco,Neuroscience,May 1,49
325,"Fitly, Creators of SmartPlate",Intelligent Nutrition Platform,Philadelphia,mHealth,Oct 1,104
326,MineWhat,A profitablity platform for online retailers,San Francisco,Retail Technology,Jun 1,59
327,Cognitive Security,Acquired by CISCO. Detecting sophisticated attacks by AI based network traffic analysis,Prague,Enterprise Security,May 1,34
328,Adazza,Adazza is bringing automation and machine learning to telecoms worldwide,San Francisco,SaaS,Jul 1,28
329,NeoSound,Translate any sound into meaningful data,Minsk,Call Center Automation,Apr 1,5
330,Rocco,AI-Powered Social Media Marketing Assistant,San Francisco,Social Media Marketing,Feb 1,284
331,Firecracker,AI Learning Platform for Healthcare Education,Boston,Personalization,May 1,73
332,Reactor.ai, Fintech innovation intelligence platform,California,Fin Tech,Oct 1,25
333,Collibra,Self-service access to data assets for cross-functional collaborations &amp; new opportunities,West New York,Information Services,Oct 1,46
334,CustEx Determinant Platform,Customer / Voter Crowds Improve Products &amp; Services,Santa Monica,New Product Development,Feb 1,161
335,Agent IQ,Agent IQ makes banking personal again by putting a personal branch in every pocket,San Francisco,Customer Service,Nov 1,68
336,Flyreel,The most advanced Artificial Intelligence solution for property insurance,Denver,Insurance,Mar 1,112
337,Indigo AI,The first AI platform that uses chatbots and machine learning to let brands do the talking,Milan,Artificial Intelligence,Sep 1,22
338,The Hyper Travel Company,,San Francisco,Logistics,Jul 1,23
339,Vitagene,Health and wellness personalized,San Francisco,Dietary Supplements,Sep 1,169
340,LF Tech,Next gen AI and normalization ,Austin,Social Travel,Mar 1,81
341,Forge.AI,Fueling Machine Intelligence,Boston,Big Data,Mar 1,21
342,Open Health Network,Integrated AI powered continuous care framework for chronic disease management,Los Altos,B2B,Mar 1,247
343,Gini,,Munich,Fin Tech,Jan 1,40
344,Maypole.tv,Empower sellers to create future shops powered by social videos ,San Mateo,Marketplaces,Feb 1,550
345,Legal Robot,Use AI to understand contracts,San Francisco,Legal,Aug 1,84
346,Desktop Genetics,Building an AI to re-engineer the human genome,Cambridge,Bioinformatics,Oct 1,151
347,Kwant.ai,Future of Construction using IoT and Artificial Intelligence ,New York City,Construction,Dec 1,58
348,Mendel.ai,Advancing Clinical Research by Combining Machine Precision and Human Intuition,San Jose,Clinical Trials,May 1,64
349,FarmWise,Providing farmers with sustainable solutions to feed a growing world,San Francisco,Robotics,Aug 1,148
350,Bobble AI Technologies,An expressive way to converse on mobile,Delhi,Android,May 1,121
351,Lily AI,The leading AI platform to help brands &amp; retailers understand customers&#39; emotional context,Mountain View,Retail Technology,May 1,707
352,HyperVerge,"Tomorrow&#39;s AI, Delivered Today!",Palo Alto,Banking,Oct 1,260
353,Motion AI (acquired by HubSpot),Chatbots made easy,Chicago,SaaS,Nov 1,214
354,mai (Markable AI),Mai is the leading AI visual discovery shopping engine that makes any visual content shoppable,New York City,Visual Search,Aug 1,83
355,KindHealth,Health insurance recommendation engine,Austin,Insurance,Sep 1,28
356,Volley (volley.com),A magic lens to learning anything,San Francisco,Education Technology,Mar 1,44
357,OnCorps,OnCorps builds Decision Guidance solutions for leading financial services firms,Boston,Artificial Intelligence / Machine Learning,Oct 1,17
358,Predikt,Predictive Talent Acquisition Software,Silicon Valley,Human Resources,Nov 1,89
359,6sense,"Gives revenue teams the power to know everything, so they can do anything",California,B2B,Apr 1,40
360,zGlue,Custom Chips on Demand,Mountain View,EDA Tools,Jan 1,149
361,DigitalGenius,Customer Service Automation Platform,San Francisco,Customer Service,Feb 1,84
362,Rock My World Media,Smart Media that Motivates,San Diego,Fitness,Sep 1,86
363,Synapse Technology (acquired),Augmented Cognition company focused on National Security &amp; Defense,Palo Alto,Defense,Mar 1,31
364,Sunu,Wearable technology that empower the visually impaired to navigate their world,Boston,Augmented Reality,Aug 1,34
365,Buoy Health,Take the guesswork out of health care,Boston,Mobile Health,May 1,156
366,Jitjatjo,Contingent labor platform &amp; staffing marketplace leveraging A.I. and Empathic Intelligence,Chicago,Hospitality,Mar 1,32
367,atSpoke,Modern workplace service desk,San Francisco,SaaS,Oct 1,133
368,Aislelabs,End-to-End WiFi Marketing and Advertising Platform,London,Marketing,Nov 1,35
369,XPRIZE Foundation,Making the impossible possible,Los Angeles,Robotics,Jan 1,74
370,Cerebri AI,Personalizing the enterprise by combining the power of machine learning and cloud computing,Austin,Deep Learning,Apr 1,174
371,Agolo,"Great summaries get to the point faster, more completely, and more accurately",Cairo Governorate,Content Summarization,Feb 1,68
372,Cortex,Artificial Intelligence (AI) for Visuals,Boston,Social Media Marketing,Sep 1,78
373,Solvvy,Provide effortless customer experiences with our intelligent self-service platform,San Mateo,Customer Service,Sep 1,92
374,Pandascore,Esports data &amp; odds provider,Paris,B2B,Jun 1,79
375,Clustree,AI for innovative and fast HR decisions,Paris,Human Resources,Feb 1,58
376,Qubit.,"Using innovative techniques to analyze data, and radically transform website optimization",London,Data Mining,Sep 1,133
377,Level (formerly Markov),Nespresso for Hot Food - AI Oven + Food for offices,Palo Alto,Food Tech,Oct 1,30
378,ZoeMob,Global Family Assistant,San Francisco,Location Based Services,Apr 1,40
379,CloudNC,CloudNC is halving the cost of manufacture for &gt;$100B of components every year,London,Manufacturing,Nov 1,62
380,Thoughtly,"Machine learning tools for the screening, visualization and summarization of text",Chicago,SaaS,Mar 1,28
381,Frame AI,Urgent CX priorities pulled from your actual conversations,New York City,Customer Service,Nov 1,25
382,Sigmoid,Building Data Solutions At Scale - Open Source | Cloud | ML | AI,Sunnyvale,Open Source,Sep 1,68
383,Blue J Legal,the next generation of legal research,Toronto,Professional Services,Aug 1,30
384,SmarterMe,Intelligent Inbox for Sales,San Mateo,Artificial Intelligence,Jan 1,24
385,Fictiv,"get on-demand parts manufactured for any quantity, budget, or timeline",Panyu,Manufacturing,Oct 1,171
386,Drive.ai,Building the Brain of Self‑Driving Vehicles,San Carlos,Robotics,Nov 1,272
387,Grammarly,Improving lives by improving communication,Vancouver,Language Learning,Jun 1,410
388,Trim,Trim automates saving you money,San Francisco,Finance Technology,Feb 1,433
389,IdeaFlow,A human-AI hybrid “shared brain” for organizations,Palo Alto,B2B,Oct 1,28
390,Dopamine Labs,Digital Product Incubator,San Francisco,SaaS,Nov 1,13
391,Narrativ,"Narrativ is a platform for brands to unlock, manage &amp; grow product reviews on the open web",Remote,Retail Technology,Oct 1,48
392,Octo.ai,Open-source analytics hypervisor,Delhi,Digital Marketing,Apr 1,38
393,StartupYard,StartupYard is a seed accelerator for deep tech startups,Prague,Industrial Automation,May 1,213
394,Cocoon Health,Cocoon Health is democratizing access to vitals &amp; health insights using AI,Sunnyvale,Consumer Electronics,Feb 1,79
395,Butterfly,Butterfly gives managers a simple and consistent way to collect feedback directly from all employees,New York City,Education Technology,Feb 1,140
396,Behold.ai,Behold.AI uses artificial intelligence to help radiologists diagnose radiology images,London,Computer Vision,May 1,65
397,Evi,,\n<div,Artificial Intelligence,Jul 1,6
398,OpenAI,Discovering and enacting the path to safe artificial general intelligence,San Francisco,Online Gaming,Dec 1,117
399,Popego,,uenos Aires Province,Interest Graph,Apr 1,20
400,Dataiku,Your path to enterprise ai,Sydney,Data Integration,Nov 1,185
